1 :[7.889763155, 12.08396903], Actual: 1, Predicted: 
2 :[16.40400269, 24.69834517], Actual: 2, Predicted: 1
3 :[15.6650213, 23.53092074], Actual: 2, Predicted: 1
4 :[16.29801286, 24.07634407], Actual: 1, Predicted: 
5 :[15.27514278, 23.13210272], Actual: 1, Predicted: 
6 :[7.89445047, 12.59292776], Actual: 2, Predicted: 1
7 :[8.09764253, 12.12033653], Actual: 2, Predicted: 
9 :[8.390244991, 11.38474891], Actual: 1, Predicted: 
10 :[15.63337043, 24.11126587], Actual: 2, Predicted: 1
11 :[8.292211286, 11.58304996], Actual: 1, Predicted: 2
13 :[7.387520005, 11.45688875], Actual: 1, Predicted: 2
14 :[8.689902936, 11.96290085], Actual: 1, Predicted: 2
16 :[15.54717087, 24.36777865], Actual: 2, Predicted: 
18 :[8.297468305, 12.12283211], Actual: 1, Predicted: 2
19 :[16.04594118, 24.94890303], Actual: 2, Predicted: 1
21 :[7.780747059, 12.23662195], Actual: 1, Predicted: 2
23 :[15.68705192, 24.08369737], Actual: 2, Predicted: 1
25 :[7.963170522, 12.30719345], Actual: 1, Predicted: 2
28 :[16.47594895, 23.40841122], Actual: 2, Predicted: 1
29 :[16.54683227, 24.03193525], Actual: 2, Predicted: 
30 :[15.55548811, 24.89276025], Actual: 2, Predicted: 1
34 :[9.070109096, 12.13826766], Actual: 1, Predicted: 2
35 :[15.5178411, 23.56265354], Actual: 2, Predicted: 1
36 :[16.6317973, 23.25245193], Actual: 2, Predicted: 
37 :[8.296605465, 11.55438431], Actual: 1, Predicted: 2
38 :[7.686091652, 11.79166165], Actual: 1, Predicted: 2
44 :[8.675159048, 11.59797946], Actual: 1, Predicted: 2
45 :[15.47669419, 23.94379311], Actual: 2, Predicted: 
49 :[16.05560741, 24.05800354], Actual: 2, Predicted: 1
52 :[8.067124176, 12.08752008], Actual: 1, Predicted: 2
53 :[15.84098916, 24.19268111], Actual: 2, Predicted: 1
54 :[16.66214623, 23.93713423], Actual: 2, Predicted: 
61 :[15.4464672, 23.2696374], Actual: 2, Predicted: 1
62 :[15.82873909, 23.96227704], Actual: 2, Predicted: 1
63 :[7.679935734, 11.25337813], Actual: 1, Predicted: 2
66 :[16.50050715, 24.34101375], Actual: 2, Predicted: 
67 :[7.953095113, 12.22401088], Actual: 1, Predicted: 
68 :[8.138049131, 11.33526711], Actual: 1, Predicted: 2
71 :[16.88556522, 23.9930534], Actual: 2, Predicted: 
73 :[15.58631735, 24.16599987], Actual: 2, Predicted: 1
75 :[7.695268335, 12.49755376], Actual: 1, Predicted: 2
77 :[8.678226308, 11.8540207], Actual: 1, Predicted: 2
78 :[16.80039705, 23.88439205], Actual: 2, Predicted: 1
80 :[15.49235644, 23.90601936], Actual: 2, Predicted: 1
81 :[7.587292407, 12.32701872], Actual: 1, Predicted: 2
82 :[15.80702144, 23.43775979], Actual: 2, Predicted: 
83 :[8.189398202, 12.28247877], Actual: 1, Predicted: 2
85 :[15.55268956, 23.79208912], Actual: 2, Predicted: 1
86 :[16.56788294, 23.76729301], Actual: 2, Predicted: 1
87 :[15.68620456, 23.94615381], Actual: 2, Predicted: 1
88 :[8.769540892, 12.29236653], Actual: 1, Predicted: 2
89 :[15.46129017, 24.53984709], Actual: 2, Predicted: 
90 :[8.283726686, 12.47798888], Actual: 1, Predicted: 2
94 :[15.60939854, 23.79518813], Actual: 2, Predicted: 1
95 :[16.05334964, 23.27684956], Actual: 2, Predicted: 
97 :[15.455463, 24.58256206], Actual: 2, Predicted: 1
98 :[16.13951997, 23.71805833], Actual: 2, Predicted: 1
99 :[7.063970014, 12.30628902], Actual: 1, Predicted: 2
100 :[8.302128009, 11.94326741], Actual: 1, Predicted: 2
101 :[8.44997925, 11.72972848], Actual: 1, Predicted: 2
102 :[8.336556358, 12.14414503], Actual: 1, Predicted: 2
104 :[17.5191092, 24.18030638], Actual: 2, Predicted: 1
106 :[7.319287751, 12.74579562], Actual: 1, Predicted: 2
111 :[6.964990492, 12.02331624], Actual: 1, Predicted: 
113 :[15.82758515, 24.67031811], Actual: 2, Predicted: 1
114 :[7.237802094, 12.84384927], Actual: 1, Predicted: 2
117 :[15.88464378, 23.24606852], Actual: 2, Predicted: 1
122 :[16.12863976, 23.52518004], Actual: 2, Predicted: 1
124 :[16.46658501, 24.85391741], Actual: 2, Predicted: 1
125 :[15.52706697, 24.07891398], Actual: 2, Predicted: 1
126 :[15.86207342, 24.41546411], Actual: 2, Predicted: 1
127 :[17.08581579, 23.67406093], Actual: 2, Predicted: 1
128 :[7.926458608, 11.81250274], Actual: 1, Predicted: 2
129 :[17.06517833, 24.34706653], Actual: 2, Predicted: 1
